ticker,trade_date,open_price,close_price,high,low,adjusted_close,volume
AAPL,2024-01-10T05:00:00.000Z,184.3500061035,186.1900024414,186.3999938965,183.9199981689,184.448059082,46792900
AAPL,2024-01-11T05:00:00.000Z,186.5399932861,185.5899963379,187.0500030518,183.6199951172,183.8536834717,49128400
AAPL,2024-01-12T05:00:00.000Z,186.0599975586,185.9199981689,186.7400054932,185.1900024414,184.1806182861,40477800
AAPL,2024-01-16T05:00:00.000Z,182.1600036621,183.6300048828,184.2599945068,180.9299926758,181.9120178223,65603000
AAPL,2024-01-17T05:00:00.000Z,181.2700042725,182.6799926758,182.9299926758,180.3000030518,180.9709014893,47317400
AAPL,2024-01-18T05:00:00.000Z,186.0899963379,188.6300048828,189.1399993896,185.8300018311,186.8652648926,78005800
AAPL,2024-01-19T05:00:00.000Z,189.3300018311,191.5599975586,191.9499969482,188.8200073242,189.7678527832,68903000
AAPL,2024-01-22T05:00:00.000Z,192.3000030518,193.8899993896,195.3300018311,192.2599945068,192.0760498047,60133900
AAPL,2024-01-23T05:00:00.000Z,195.0200042725,195.1799926758,195.75,193.8300018311,193.3539581299,42355600
AAPL,2024-01-24T05:00:00.000Z,195.4199981689,194.5,196.3800048828,194.3399963379,192.6803588867,53631300
AAPL,2024-01-25T05:00:00.000Z,195.2200012207,194.1699981689,196.2700042725,193.1100006104,192.3534240723,54822100
AAPL,2024-01-26T05:00:00.000Z,194.2700042725,192.4199981689,194.7599945068,191.9400024414,190.6197967529,44594000
AAPL,2024-01-29T05:00:00.000Z,192.0099945068,191.7299957275,192.1999969482,189.5800018311,189.9362487793,47145600
AAPL,2024-01-30T05:00:00.000Z,190.9400024414,188.0399932861,191.8000030518,187.4700012207,186.2807617188,55859400
AAPL,2024-01-31T05:00:00.000Z,187.0399932861,184.3999938965,187.1000061035,184.3500061035,182.6748199463,55467800
AAPL,2024-02-01T05:00:00.000Z,183.9900054932,186.8600006104,186.9499969482,183.8200073242,185.1118011475,64885400
AAPL,2024-02-02T05:00:00.000Z,179.8600006104,185.8500061035,187.3300018311,179.25,184.1112670898,102551700
AAPL,2024-02-05T05:00:00.000Z,188.1499938965,187.6799926758,189.25,185.8399963379,185.9241485596,69668800
AAPL,2024-02-06T05:00:00.000Z,186.8600006104,189.3000030518,189.3099975586,186.7700042725,187.5290222168,43490800
AAPL,2024-02-07T05:00:00.000Z,190.6399993896,189.4100036621,191.0500030518,188.6100006104,187.6379547119,53439000
AAPL,2024-02-08T05:00:00.000Z,189.3899993896,188.3200073242,189.5399932861,187.3500061035,186.5581512451,40962000
AAPL,2024-02-09T05:00:00.000Z,188.6499938965,188.8500061035,189.9900054932,188.0,187.3219146729,45155200
AAPL,2024-02-12T05:00:00.000Z,188.4199981689,187.1499938965,188.6699981689,186.7899932861,185.6356811523,41781900
AAPL,2024-02-13T05:00:00.000Z,185.7700042725,185.0399932861,186.2100067139,183.5099945068,183.5427703857,56529500
AAPL,2024-02-14T05:00:00.000Z,185.3200073242,184.1499938965,185.5299987793,182.4400024414,182.659942627,54630500
AAPL,2024-02-15T05:00:00.000Z,183.5500030518,183.8600006104,184.4900054932,181.3500061035,182.3722839355,65434500
AAPL,2024-02-16T05:00:00.000Z,183.4199981689,182.3099975586,184.8500061035,181.6699981689,180.8348083496,49752500
AAPL,2024-02-20T05:00:00.000Z,181.7899932861,181.5599975586,182.4299926758,180.0,180.0908966064,53665600
AAPL,2024-02-21T05:00:00.000Z,181.9400024414,182.3200073242,182.8899993896,180.6600036621,180.8447875977,41371400
AAPL,2024-02-22T05:00:00.000Z,183.4799957275,184.3699951172,184.9600067139,182.4600067139,182.8781585693,52292200
AAPL,2024-02-23T05:00:00.000Z,185.0099945068,182.5200042725,185.0399932861,182.2299957275,181.0431518555,45119700
AAPL,2024-02-26T05:00:00.000Z,182.2400054932,181.1600036621,182.7599945068,180.6499938965,179.6941680908,40867400
AAPL,2024-02-27T05:00:00.000Z,181.1000061035,182.6300048828,183.9199981689,179.5599975586,181.1522521973,54318900
AAPL,2024-02-28T05:00:00.000Z,182.5099945068,181.4199981689,183.1199951172,180.1300048828,179.952041626,48953900
AAPL,2024-02-29T05:00:00.000Z,181.2700042725,180.75,182.5700073242,179.5299987793,179.2874603271,136682600
AAPL,2024-03-01T05:00:00.000Z,179.5500030518,179.6600036621,180.5299987793,177.3800048828,178.2062835693,73563100
AAPL,2024-03-04T05:00:00.000Z,176.1499938965,175.1000061035,176.8999938965,173.7899932861,173.6831970215,81510100
AAPL,2024-03-05T05:00:00.000Z,170.7599945068,170.1199951172,172.0399932861,169.6199951172,168.7434692383,95132400
AAPL,2024-03-06T05:00:00.000Z,171.0599975586,169.1199951172,171.2400054932,168.6799926758,167.7515563965,68587700
AAPL,2024-03-07T05:00:00.000Z,169.1499938965,169.0,170.7299957275,168.4900054932,167.6325378418,71765100
AAPL,2024-03-08T05:00:00.000Z,169.0,170.7299957275,173.6999969482,168.9400024414,169.3485565186,76267000
AAPL,2024-03-11T04:00:00.000Z,172.9400024414,172.75,174.3800048828,172.0500030518,171.3522033691,60139500
AAPL,2024-03-12T04:00:00.000Z,173.1499938965,173.2299957275,174.0299987793,171.0099945068,171.8282928467,59825400
AAPL,2024-03-13T04:00:00.000Z,172.7700042725,171.1300048828,173.1900024414,170.7599945068,169.745300293,52488700
AAPL,2024-03-14T04:00:00.000Z,172.9100036621,173.0,174.3099975586,172.0500030518,171.6001739502,72913500
AAPL,2024-03-15T04:00:00.000Z,171.1699981689,172.6199951172,172.6199951172,170.2899932861,171.223236084,121752700
AAPL,2024-03-18T04:00:00.000Z,175.5700073242,173.7200012207,177.7100067139,173.5200042725,172.3143310547,75604200
AAPL,2024-03-19T04:00:00.000Z,174.3399963379,176.0800018311,176.6100006104,173.0299987793,174.6552581787,55215200
AAPL,2024-03-20T04:00:00.000Z,175.7200012207,178.6699981689,178.6699981689,175.0899963379,177.2242736816,53423100
AAPL,2024-03-21T04:00:00.000Z,177.0500030518,171.3699951172,177.4900054932,170.8399963379,169.9833526611,106181300
AAPL,2024-03-22T04:00:00.000Z,171.7599945068,172.2799987793,173.0500030518,170.0599975586,170.8860168457,71160100
AAPL,2024-03-25T04:00:00.000Z,170.5700073242,170.8500061035,171.9400024414,169.4499969482,169.4675750732,54288300
AAPL,2024-03-26T04:00:00.000Z,170.0,169.7100067139,171.4199981689,169.5800018311,168.3367919922,57388400
AAPL,2024-03-27T04:00:00.000Z,170.4100036621,173.3099975586,173.6000061035,170.1100006104,171.9076385498,60273300
AAPL,2024-03-28T04:00:00.000Z,171.75,171.4799957275,172.2299957275,170.5099945068,170.0924530029,65672700
AAPL,2024-04-01T04:00:00.000Z,171.1900024414,170.0299987793,171.25,169.4799957275,168.6542205811,46240500
AAPL,2024-04-02T04:00:00.000Z,169.0800018311,168.8399963379,169.3399963379,168.2299957275,167.473815918,49329500
AAPL,2024-04-03T04:00:00.000Z,168.7899932861,169.6499938965,170.6799926758,168.5800018311,168.2772674561,47691700
AAPL,2024-04-04T04:00:00.000Z,170.2899932861,168.8200073242,171.9199981689,168.8200073242,167.4540100098,53704400
AAPL,2024-04-05T04:00:00.000Z,169.5899963379,169.5800018311,170.3899993896,168.9499969482,168.2078399658,42104800
AAPL,2024-04-08T04:00:00.000Z,169.0299987793,168.4499969482,169.1999969482,168.2400054932,167.0869750977,37425500
